-14305.51368,-60092.844
-13838.3772,-60329.33832
-12235.34256,-63650.40864
-12337.17624,-62220.53088
-14490.37488,-57252.50424
-15332.78112,-58939.54176
-10329.672,-61974.222
-10228.7832,-65667.84936
-15682.05144,-62090.59464
-12247.7784,-59176.06656
-15980.3592,-63074.3976
-12402.0072,-56075.00088
-10767.79152,-65559.37104
-10285.0188,-57866.82864
-14247.63216,-57241.83624
-10549.46328,-64160.46096
-14167.16496,-65094.58152
-12412.85808,-66106.0908
-12516.7644,-55583.41944
-14435.41944,-66774.54768
-12351.34944,-56218.34832
-12035.27184,-65746.82304
-14034.94272,-66681.61416
-10146.97488,-64612.1136
-12178.5888,-60260.60592
-15342.22992,-60846.73632
-12378.14136,-58437.99336
-13088.874,-56058.08448
-15657.85032,-55668.18432
-12021.28152,-62622.92784
-14778.01464,-55883.12928
-11760.67752,-58869.86448
-11079.72384,-66238.95312
-14073.86568,-55381.00176
-14722.48008,-57209.1312
-14596.93296,-58259.80728
-14305.23936,-59656.5228
-14073.77424,-58544.42952
-10358.7804,-56379.64848
-15265.26792,-65404.53264
-13953.16488,-61284.70344
-12065.6604,-64633.69344
-16230.17328,-65599.818
-12429.4392,-57149.51232
-15440.95464,-60109.51656
-14333.03712,-56392.60248
-10132.43592,-66613.24752
-11999.5188,-55702.41336
