-13953.16488,61284.70344,1,0
-61284.70344,-13953.16488,0,1
-14210.05032,62275.79112,1,0
-62275.79112,-14210.05032,0,1
-14333.03712,56392.60248,1,0
-56392.60248,-14333.03712,0,1
-12337.17624,62220.53088,1,0
-62220.53088,-12337.17624,0,1
-15657.85032,55668.18432,1,0
-55668.18432,-15657.85032,0,1
-14283.65952,64331.48424,1,0
-64331.48424,-14283.65952,0,1
-10329.672,61974.222,1,0
-61974.222,-10329.672,0,1
-9978.93864,61155.01104,1,0
-61155.01104,-9978.93864,0,1
-12605.9184,60701.43816,1,0
-60701.43816,-12605.9184,0,1
-10656.35664,63111.30888,1,0
-63111.30888,-10656.35664,0,1
-10146.97488,64612.1136,1,0
-64612.1136,-10146.97488,0,1
-12429.4392,57149.51232,1,0
-57149.51232,-12429.4392,0,1
-14490.37488,57252.50424,1,0
-57252.50424,-14490.37488,0,1
-14778.01464,55883.12928,1,0
-55883.12928,-14778.01464,0,1
-10426.38504,59028.81768,1,0
-59028.81768,-10426.38504,0,1
-14167.16496,65094.58152,1,0
-65094.58152,-14167.16496,0,1
-15440.95464,60109.51656,1,0
-60109.51656,-15440.95464,0,1
-10549.46328,64160.46096,1,0
-64160.46096,-10549.46328,0,1
-14073.77424,58544.42952,1,0
-58544.42952,-14073.77424,0,1
-16230.17328,65599.818,1,0
-65599.818,-16230.17328,0,1
-11079.72384,66238.95312,1,0
-66238.95312,-11079.72384,0,1
-10358.7804,56379.64848,1,0
-56379.64848,-10358.7804,0,1
-10206.62424,56876.71632,1,0
-56876.71632,-10206.62424,0,1
-11760.67752,58869.86448,1,0
-58869.86448,-11760.67752,0,1
-12412.85808,66106.0908,1,0
-66106.0908,-12412.85808,0,1
-12056.0592,66784.5756,1,0
-66784.5756,-12056.0592,0,1
-14331.696,61020.0456,1,0
-61020.0456,-14331.696,0,1
-10228.7832,65667.84936,1,0
-65667.84936,-10228.7832,0,1
-15342.22992,60846.73632,1,0
-60846.73632,-15342.22992,0,1
-15980.3592,63074.3976,1,0
-63074.3976,-15980.3592,0,1
-14854.24512,55211.74632,1,0
-55211.74632,-14854.24512,0,1
-14073.86568,55381.00176,1,0
-55381.00176,-14073.86568,0,1
